sp,sptr_index
6/27/2018,5312.892
6/28/2018,5346.437
6/29/2018,5350.832
7/2/2018,5367.49
7/3/2018,5340.934
7/5/2018,5388.276
7/6/2018,5434.358
7/9/2018,5483.889
7/10/2018,5503.046
7/11/2018,5464.006
7/12/2018,5512.358
7/13/2018,5518.328
7/16/2018,5512.921
7/17/2018,5534.907
7/18/2018,5546.861
7/19/2018,5525.513
7/20/2018,5520.498
7/23/2018,5530.655
7/24/2018,5557.374
7/25/2018,5607.993
7/26/2018,5590.994
7/27/2018,5554.313
7/30/2018,5522.809
7/31/2018,5549.956
8/1/2018,5544.194
8/2/2018,5572.083
8/3/2018,5598.712
8/6/2018,5619.052
8/7/2018,5634.976
8/8/2018,5633.666
8/9/2018,5627.003
8/10/2018,5588.659
8/13/2018,5566.361
8/14/2018,5602.414
8/15/2018,5560.853
8/16/2018,5606.561
8/17/2018,5625.656
8/20/2018,5639.528
8/21/2018,5651.393
8/22/2018,5649.307
8/23/2018,5640.097
8/24/2018,5675.121
8/27/2018,5719.302
8/28/2018,5720.888
8/29/2018,5753.998
8/30/2018,5729.448
8/31/2018,5730.803
9/4/2018,5721.856
9/5/2018,5705.859
9/6/2018,5686.701
9/7/2018,5674.58
9/10/2018,5685.339
9/11/2018,5706.988
9/12/2018,5709.08
9/13/2018,5740.752
9/14/2018,5743.188
9/17/2018,5711.295
9/18/2018,5742.182
9/19/2018,5749.387
9/20/2018,5794.722
9/21/2018,5792.717
9/24/2018,5772.362
9/25/2018,5765.247
9/26/2018,5746.266
9/27/2018,5763.22
9/28/2018,5763.422
10/1/2018,5784.452
10/2/2018,5782.366
10/3/2018,5786.479
10/4/2018,5740.56
10/5/2018,5708.903
10/8/2018,5706.66
10/9/2018,5700.232
10/10/2018,5512.939
10/11/2018,5399.54
10/12/2018,5476.827
10/15/2018,5444.613
10/16/2018,5561.8
10/17/2018,5560.621
10/18/2018,5481.129
10/19/2018,5479.295
10/22/2018,5455.881
10/23/2018,5426.083
10/24/2018,5258.611
10/25/2018,5356.543
10/26/2018,5263.736
10/29/2018,5229.277
10/30/2018,5311.675
10/31/2018,5369.491
11/1/2018,5426.327
11/2/2018,5392.532
11/5/2018,5422.879
11/6/2018,5457.254
11/7/2018,5573.059
11/8/2018,5562
11/9/2018,5511.785
11/12/2018,5403.188
11/13/2018,5395.371
11/14/2018,5355.938
11/15/2018,5414.428
11/16/2018,5426.864
11/19/2018,5336.705
11/20/2018,5240.232
11/21/2018,5256.613
11/23/2018,5222.426
11/26/2018,5304.169
11/27/2018,5321.522
11/28/2018,5444.118
11/29/2018,5433.486
11/30/2018,5478.913
12/3/2018,5538.857
12/4/2018,5359.909
12/6/2018,5353.434
12/7/2018,5229.439
12/10/2018,5238.703
12/11/2018,5237.101
12/12/2018,5265.531
12/13/2018,5265.458
12/14/2018,5165.602
12/17/2018,5058.577
12/18/2018,5059.344
12/19/2018,4981.92
12/20/2018,4903.463
12/21/2018,4802.509
12/24/2018,4672.66
12/26/2018,4904.492
12/27/2018,4946.94
12/28/2018,4941.608
12/31/2018,4984.217
1/2/2019,4990.556
1/3/2019,4868.296
1/4/2019,5035.452
1/7/2019,5070.764
1/8/2019,5120.039
1/9/2019,5142.656
1/10/2019,5165.895
1/11/2019,5165.146
1/14/2019,5138.578
1/15/2019,5193.784
1/16/2019,5205.448
1/17/2019,5245.479
1/18/2019,5314.784
1/22/2019,5239.752
1/23/2019,5251.288
1/24/2019,5258.686
1/25/2019,5303.506
1/28/2019,5261.881
1/29/2019,5254.31
1/30/2019,5336.6
1/31/2019,5383.632
2/1/2019,5389.194
2/4/2019,5425.797
2/5/2019,5451.4
2/6/2019,5439.802
2/7/2019,5389.687
2/8/2019,5395.116
2/11/2019,5399.004
2/12/2019,5468.982
2/13/2019,5485.966
2/14/2019,5473.327
2/15/2019,5533.274
2/19/2019,5541.975
2/20/2019,5552.904
2/21/2019,5533.797
2/22/2019,5569.452
2/25/2019,5577.085
2/26/2019,5572.745
2/27/2019,5570.569
2/28/2019,5556.49
3/1/2019,5595.113
3/4/2019,5573.533
3/5/2019,5567.403
3/6/2019,5531.339
3/7/2019,5487.556
3/8/2019,5476.386
3/11/2019,5556.765
3/12/2019,5573.436
3/13/2019,5612.557
3/14/2019,5609.585
3/15/2019,5637.768
3/18/2019,5658.727
3/19/2019,5658.15
3/20/2019,5641.744
3/21/2019,5703.278
3/22/2019,5595.5
3/25/2019,5591.228
3/26/2019,5631.393
3/27/2019,5605.317
3/28/2019,5626.317
3/29/2019,5664.463
4/1/2019,5730.041
4/2/2019,5730.354
4/3/2019,5742.671
4/4/2019,5755.956
4/5/2019,5782.695
4/8/2019,5788.859
4/9/2019,5755.491
4/10/2019,5775.989
4/11/2019,5776.281
4/12/2019,5815.04
4/15/2019,5811.512
4/16/2019,5814.461
4/17/2019,5801.826
4/18/2019,5811.127
4/22/2019,5817.164
4/23/2019,5868.876
4/24/2019,5856.033
4/25/2019,5853.875
4/26/2019,5881.476
4/29/2019,5888.049
4/30/2019,5893.815
5/1/2019,5849.653
5/2/2019,5837.46
5/3/2019,5894.303
5/6/2019,5868.448
5/7/2019,5771.586
5/8/2019,5762.481
5/9/2019,5747.078
5/10/2019,5770.435
5/13/2019,5631.409
5/14/2019,5677.196
5/15/2019,5711.487
5/16/2019,5763.948
5/17/2019,5730.887
5/20/2019,5692.304
5/21/2019,5740.807
5/22/2019,5724.707
5/23/2019,5657.097
5/24/2019,5665.598
5/28/2019,5618.179
5/29/2019,5579.506
5/30/2019,5591.974
5/31/2019,5519.274
6/3/2019,5504.052
6/4/2019,5622.31
6/5/2019,5668.89
6/6/2019,5705.22
6/7/2019,5765.661
6/10/2019,5792.557
6/11/2019,5790.826
6/12/2019,5779.124
6/13/2019,5804.533
6/14/2019,5795.964
6/17/2019,5801.4
6/18/2019,5857.949
6/19/2019,5875.447
6/20/2019,5931.66
6/21/2019,5924.542
6/24/2019,5914.289
6/25/2019,5858.134
6/26/2019,5850.896
6/27/2019,5874.153
6/28/2019,5908.251
7/1/2019,5953.627
7/2/2019,5971.288
7/3/2019,6018.542
7/5/2019,6008.308
7/8/2019,5979.339
7/9/2019,5988.481
7/10/2019,6015.56
7/11/2019,6029.326
7/12/2019,6057.771
7/15/2019,6058.827
7/16/2019,6038.396
7/17/2019,5999.048
7/18/2019,6021.151
7/19/2019,5984.202
7/22/2019,6001.276
7/23/2019,6042.479
7/24/2019,6071.046
7/25/2019,6039.131
7/26/2019,6083.823
7/29/2019,6074.014
7/30/2019,6058.956
7/31/2019,5993.166
8/1/2019,5939.833
8/2/2019,5897.104
8/5/2019,5721.797
8/6/2019,5796.718
8/7/2019,5801.324
8/8/2019,5911.658
8/9/2019,5873.466
8/12/2019,5804.252
8/13/2019,5890.159
8/14/2019,5719.305
8/15/2019,5734.488
8/16/2019,5818.168
8/19/2019,5888.934
8/20/2019,5842.763
8/21/2019,5891.19
8/22/2019,5888.368
8/23/2019,5735.628
8/26/2019,5799.337
8/27/2019,5780.786
8/28/2019,5818.84
8/29/2019,5893.65
8/30/2019,5898.232
9/3/2019,5857.951
9/4/2019,5921.955
9/5/2019,6000.38
9/6/2019,6006.07
9/9/2019,6005.993
9/10/2019,6008.121
9/11/2019,6051.865
9/12/2019,6070.228
9/13/2019,6067.505
